行ID,角色,类别,文本,音频,时长秒
tower_ascent.before_battle.01,墨塔,战前对话,白蚀有三层。用斗拱护住承点、飞檐破开灰幕、藻井净化逆结晶，每种技艺都要在此回应一次。,墨塔/tower_ascent_before_battle.wav,7.78
tower_ascent.forget_response.01,墨塔,遗忘回应,你又做了一次有限的取舍。承认自己无法全知，才不会把个人的谱当成整个世界。,墨塔/tower_ascent_forget.wav,6.90
tower_ascent.keep_response.01,初代回声,记住回应,请连我的错误一起记下。别让后来的人只看见一座完好的塔。,初代回声/tower_ascent_keep.wav,5.29
tower_ledger.dialogue.03,廊桥的回声,开场对话,你怎样等人归来，就是你的名字。,廊桥的回声/tower_ledger_dialogue_03.wav,2.58
tower_ledger.beat.02,廊桥的回声,调查呓语,你怎样等人归来，就是你的名字。,廊桥的回声/tower_ledger_beat_02.wav,2.78
tower_ledger.dialogue.04,戏楼的回声,开场对话,你肯听下一句，就是你的名字。,戏楼的回声/tower_ledger_dialogue_04.wav,2.59
tower_ledger.beat.03,戏楼的回声,调查呓语,你肯听下一句，就是你的名字。,戏楼的回声/tower_ledger_beat_03.wav,2.95
failure_scene.failure.03,飞鸟山,失败结局,差的那一步是我。你把我的残迹当成一页脏墨，擦干净，再写上你记得的样子。,飞鸟山/failure_line_03.wav,7.01
failure_scene.failure.05,飞鸟山,失败结局,你要的不是原来的我，是一个被你修好的我。,飞鸟山/failure_line_05.wav,4.03
failure_scene.failure.07,飞鸟山,失败结局,你是想让我停在你还记得我的那一天。,飞鸟山/failure_line_07.wav,3.19
failure_scene.failure.09,飞鸟山,失败结局,你这个人，满脑子只想着自己呢。,飞鸟山/failure_line_09.wav,2.73
