序号,行ID,角色,类别,章节,原文,规范化文本,已改写,被替换字符,输出音频,切片文件,字数
97,opera_master.beat.01,戏楼·师父回声,调查呓语,第二章·戏楼,他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。,他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。,,,opera_master_beat_01.wav,12-戏楼·师父回声/097-opera_master.beat.01.txt,28
98,opera_master.beat.02,拓印师,调查呓语,第二章·戏楼,因为那句不够好听？,因为那句不够好听。,是,？,opera_master_beat_02.wav,02-拓印师/098-opera_master.beat.02.txt,9
99,opera_master.beat.03,戏楼·师父回声,调查呓语,第二章·戏楼,可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。,可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。,,,opera_master_beat_03.wav,12-戏楼·师父回声/099-opera_master.beat.03.txt,36
100,opera_master.before_battle.01,戏楼,战前对话,第二章·戏楼,护住通向后台的门。用飞檐驱散白蚀，给后来的人留出登台的位置。,护住通向后台的门。用飞檐驱散白蚀，给后来的人留出登台的位置。,,,opera_master_before_battle.wav,07-戏楼/100-opera_master.before_battle.01.txt,30
101,opera_master.keep_response.01,戏楼·师父回声,记住回应,第二章·戏楼,别替他唱完。听他慢慢学，会有他自己的声音。,别替他唱完。听他慢慢学，会有他自己的声音。,,,opera_master_keep.wav,12-戏楼·师父回声/101-opera_master.keep_response.01.txt,21
102,opera_master.forget_response.01,戏楼,遗忘回应,第二章·戏楼,一页旧声退去了。你亲手做过的选择，比一张无瑕的谱更需要被诚实记下。,一页旧声退去了。你亲手做过的选择，比一张无瑕的谱更需要被诚实记下。,,,opera_master_forget.wav,07-戏楼/102-opera_master.forget_response.01.txt,33
103,opera_master.outro.01,旁白,事件结语,第二章·戏楼,你没有让绝唱永远循环，而是替它接上了一句尚显稚嫩的新声。通往石牌坊的门打开了，门后有人问：一座留名的坊，为什么没有匠人的名字？,你没有让绝唱永远循环，而是替它接上了一句尚显稚嫩的新声。通往石牌坊的门打开了，门后有人问，一座留名的坊，为什么没有匠人的名字。,是,：？,opera_master_outro.wav,01-旁白/103-opera_master.outro.01.txt,63
104,opera_master.first_clear.01,旁白,首通呓语,第二章·戏楼,唱完了。……为什么要演奏春日影？,唱完了。，为什么要演奏春日影。,是,…？,opera_master_first_clear.wav,01-旁白/104-opera_master.first_clear.01.txt,15
105,opera_master.echo.01,墨灵回声,墨灵回声,第二章·戏楼,记住绝唱，就要面对被抹去的童年社戏。,记住绝唱，就要面对被抹去的童年社戏。,,,xi_jue_chang.wav,05-墨灵回声/105-opera_master.echo.01.txt,18
106,archway_form.dialogue.01,檐下谱,开场对话,第三章·牌坊,牌坊横跨旧道，碑额上的名字十分清楚，柱脚的凿痕却几乎消失。,牌坊横跨旧道，碑额上的名字十分清楚，柱脚的凿痕却几乎消失。,,,archway_form_dialogue_01.wav,03-檐下谱/106-archway_form.dialogue.01.txt,29
107,archway_form.dialogue.02,牌坊,开场对话,第三章·牌坊,路过的人总仰头念名字，很少低头看我怎么站着。,路过的人总仰头念名字，很少低头看我怎么站着。,,,archway_form_dialogue_02.wav,06-牌坊/107-archway_form.dialogue.02.txt,22
108,archway_form.dialogue.03,拓印师,开场对话,第三章·牌坊,四根柱子，三处开间。把中央构件归位，重量才传得到两侧。,四根柱子，三处开间。把中央构件归位，重量才传得到两侧。,,,archway_form_dialogue_03.wav,02-拓印师/108-archway_form.dialogue.03.txt,27
109,archway_form.dialogue.04,牌坊,开场对话,第三章·牌坊,你看见规制了。再往下看，石脚背面有一排没有署名的手印。,你看见规制了。再往下看，石脚背面有一排没有署名的手印。,,,archway_form_dialogue_04.wav,06-牌坊/109-archway_form.dialogue.04.txt,27
110,archway_form.dialogue.05,拓印师,开场对话,第三章·牌坊,建造它的人，为什么没有自己的位置？,建造它的人，为什么没有自己的位置。,是,？,archway_form_dialogue_05.wav,02-拓印师/110-archway_form.dialogue.05.txt,17
111,archway_form.dialogue.06,牌坊,开场对话,第三章·牌坊,也许他们没来得及写。也许有人觉得不必写。你可以从今天开始读。,也许他们没来得及写。也许有人觉得不必写。你可以从今天开始读。,,,archway_form_dialogue_06.wav,06-牌坊/111-archway_form.dialogue.06.txt,30
112,archway_form.clue.01,旁白,调查线索,第三章·牌坊,柱脚完整保存四个承重点，中间形成三个通道，对应四柱三间。,柱脚完整保存四个承重点，中间形成三个通道，对应四柱三间。,,,archway_form_clue_01.wav,01-旁白/112-archway_form.clue.01.txt,28
113,archway_form.clue.02,旁白,调查线索,第三章·牌坊,中央榫槽磨痕最深，是连接两侧构件的受力节点。,中央榫槽磨痕最深，是连接两侧构件的受力节点。,,,archway_form_clue_02.wav,01-旁白/113-archway_form.clue.02.txt,22
114,archway_form.clue.03,旁白,调查线索,第三章·牌坊,石背留着搬运者的手印，大小不同，没有一只手能独自举起整块石头。,石背留着搬运者的手印，大小不同，没有一只手能独自举起整块石头。,,,archway_form_clue_03.wav,01-旁白/114-archway_form.clue.03.txt,31
115,archway_form.beat.01,牌坊,调查呓语,第三章·牌坊,路过的人总仰头念名字，很少低头看我怎么站着。,路过的人总仰头念名字，很少低头看我怎么站着。,,,archway_form_beat_01.wav,06-牌坊/115-archway_form.beat.01.txt,22
116,archway_form.beat.02,拓印师,调查呓语,第三章·牌坊,四根柱子，三处开间。把中央构件归位，重量才传得到两侧。,四根柱子，三处开间。把中央构件归位，重量才传得到两侧。,,,archway_form_beat_02.wav,02-拓印师/116-archway_form.beat.02.txt,27
117,archway_form.beat.03,牌坊,调查呓语,第三章·牌坊,你看见规制了。再往下看，石脚背面有一排没有署名的手印。,你看见规制了。再往下看，石脚背面有一排没有署名的手印。,,,archway_form_beat_03.wav,06-牌坊/117-archway_form.beat.03.txt,27
118,archway_form.before_battle.01,牌坊,战前对话,第三章·牌坊,白蚀正抹平柱脚手印。施展飞檐越过灰幕，护住承重节点。,白蚀正抹平柱脚手印。施展飞檐越过灰幕，护住承重节点。,,,archway_form_before_battle.wav,06-牌坊/118-archway_form.before_battle.01.txt,26
119,archway_form.keep_response.01,牌坊,记住回应,第三章·牌坊,你记住了无名者，石头才不只替显赫的人说话。,你记住了无名者，石头才不只替显赫的人说话。,,,archway_form_keep.wav,06-牌坊/119-archway_form.keep_response.01.txt,21
120,archway_form.forget_response.01,牌坊,遗忘回应,第三章·牌坊,旧名字的回声离开了心舍。你仍可以选择把无名者的位置留在世界上。,旧名字的回声离开了心舍。你仍可以选择把无名者的位置留在世界上。,,,archway_form_forget.wav,06-牌坊/120-archway_form.forget_response.01.txt,31
121,archway_form.outro.01,旁白,事件结语,第三章·牌坊,中央构件归位，牌坊重新立稳。柱脚的手印一一显现，其中一只手指向背面的营造刻痕：那里没有名字，却有一套清楚的做法。,中央构件归位，牌坊重新立稳。柱脚的手印一一显现，其中一只手指向背面的营造刻痕，那里没有名字，却有一套清楚的做法。,是,：,archway_form_outro.wav,01-旁白/121-archway_form.outro.01.txt,56
122,archway_form.echo.01,墨灵回声,墨灵回声,第三章·牌坊,无名匠人的手艺也值得被记住。,无名匠人的手艺也值得被记住。,,,fang_wu_ming.wav,05-墨灵回声/122-archway_form.echo.01.txt,14
123,archway_craftsman.dialogue.01,檐下谱,开场对话,第三章·牌坊,背面的营造记录写满尺寸，署名处却空着。凿子与木屑落在石台边。,背面的营造记录写满尺寸，署名处却空着。凿子与木屑落在石台边。,,,archway_craftsman_dialogue_01.wav,03-檐下谱/123-archway_craftsman.dialogue.01.txt,30
124,archway_craftsman.dialogue.02,牌坊·匠人回声,开场对话,第三章·牌坊,若后人知道怎样修它，不知道我的名字，也不算白做。,若后人知道怎样修它，不知道我的名字，也不算白做。,,,archway_craftsman_dialogue_02.wav,09-牌坊·匠人回声/124-archway_craftsman.dialogue.02.txt,24
125,archway_craftsman.dialogue.03,拓印师,开场对话,第三章·牌坊,可我还是想替你补上。,可我还是想替你补上。,,,archway_craftsman_dialogue_03.wav,02-拓印师/125-archway_craftsman.dialogue.03.txt,10
126,archway_craftsman.dialogue.04,牌坊·匠人回声,开场对话,第三章·牌坊,别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。,别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。,,,archway_craftsman_dialogue_04.wav,09-牌坊·匠人回声/126-archway_craftsman.dialogue.04.txt,34
127,archway_craftsman.dialogue.05,拓印师,开场对话,第三章·牌坊,用斗拱承住构件，再借飞檐点亮高处刻痕。让别人也能照着修。,用斗拱承住构件，再借飞檐点亮高处刻痕。让别人也能照着修。,,,archway_craftsman_dialogue_05.wav,02-拓印师/127-archway_craftsman.dialogue.05.txt,28
128,archway_craftsman.dialogue.06,牌坊·匠人回声,开场对话,第三章·牌坊,这就对了。传下去的不是一块永不坏的石头，是坏了以后仍有人肯修。,这就对了。传下去的不是一块永不坏的石头，是坏了以后仍有人肯修。,,,archway_craftsman_dialogue_06.wav,09-牌坊·匠人回声/128-archway_craftsman.dialogue.06.txt,31
129,archway_craftsman.clue.01,旁白,调查线索,第三章·牌坊,凿口有三层深浅，显示构件曾被不同的手修过。,凿口有三层深浅，显示构件曾被不同的手修过。,,,archway_craftsman_clue_01.wav,01-旁白/129-archway_craftsman.clue.01.txt,21
130,archway_craftsman.clue.02,旁白,调查线索,第三章·牌坊,尺寸记号相互呼应，低处承重点需要斗拱稳住。,尺寸记号相互呼应，低处承重点需要斗拱稳住。,,,archway_craftsman_clue_02.wav,01-旁白/130-archway_craftsman.clue.02.txt,21
131,archway_craftsman.clue.03,旁白,调查线索,第三章·牌坊,高处刻痕反光微弱，借飞檐的灵动才能让整段记录显影。,高处刻痕反光微弱，借飞檐的灵动才能让整段记录显影。,,,archway_craftsman_clue_03.wav,01-旁白/131-archway_craftsman.clue.03.txt,25
132,archway_craftsman.beat.01,牌坊·匠人回声,调查呓语,第三章·牌坊,若后人知道怎样修它，不知道我的名字，也不算白做。,若后人知道怎样修它，不知道我的名字，也不算白做。,,,archway_craftsman_beat_01.wav,09-牌坊·匠人回声/132-archway_craftsman.beat.01.txt,24
133,archway_craftsman.beat.02,拓印师,调查呓语,第三章·牌坊,可我还是想替你补上。,可我还是想替你补上。,,,archway_craftsman_beat_02.wav,02-拓印师/133-archway_craftsman.beat.02.txt,10
134,archway_craftsman.beat.03,牌坊·匠人回声,调查呓语,第三章·牌坊,别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。,别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。,,,archway_craftsman_beat_03.wav,09-牌坊·匠人回声/134-archway_craftsman.beat.03.txt,34
135,archway_craftsman.before_battle.01,牌坊,战前对话,第三章·牌坊,两波白蚀正冲击梁柱。斗拱承重，飞檐破障，把所学连成一次真正的修复。,两波白蚀正冲击梁柱。斗拱承重，飞檐破障，把所学连成一次真正的修复。,,,archway_craftsman_before_battle.wav,06-牌坊/135-archway_craftsman.before_battle.01.txt,33
136,archway_craftsman.keep_response.01,牌坊·匠人回声,记住回应,第三章·牌坊,不必替我编一个响亮的名字。把修它的办法交给下个人。,不必替我编一个响亮的名字。把修它的办法交给下个人。,,,archway_craftsman_keep.wav,09-牌坊·匠人回声/136-archway_craftsman.keep_response.01.txt,25
137,archway_craftsman.forget_response.01,牌坊,遗忘回应,第三章·牌坊,你亲手抹去一页，也看见留下的人并非完整。愿你承认缺口，而不编造补白。,你亲手抹去一页，也看见留下的人并非完整。愿你承认缺口，而不编造补白。,,,archway_craftsman_forget.wav,06-牌坊/137-archway_craftsman.forget_response.01.txt,34
138,archway_craftsman.outro.01,旁白,事件结语,第三章·牌坊,刻痕连成通向七层墨塔的路线。檐下谱扩至七格，却仍装不下所有故事。塔顶传来一个陌生而熟悉的声音：我曾经试过，让世上再无悲伤。,刻痕连成通向七层墨塔的路线。檐下谱扩至七格，却仍装不下所有故事。塔顶传来一个陌生而熟悉的声音，我曾经试过，让世上再无悲伤。,是,：,archway_craftsman_outro.wav,01-旁白/138-archway_craftsman.outro.01.txt,61
139,archway_craftsman.echo.01,墨灵回声,墨灵回声,第三章·牌坊,名字可以被风吹散，手艺留下的结构不会。,名字可以被风吹散，手艺留下的结构不会。,,,fang_jiang_hun.wav,05-墨灵回声/139-archway_craftsman.echo.01.txt,19
140,tower_ascent.dialogue.01,檐下谱,开场对话,第四章·通天塔,墨塔每层都收着被删去的谱页。越往上，纸越白，人的轮廓也越淡。,墨塔每层都收着被删去的谱页。越往上，纸越白，人的轮廓也越淡。,,,tower_ascent_dialogue_01.wav,03-檐下谱/140-tower_ascent.dialogue.01.txt,30
141,tower_ascent.dialogue.02,初代拓印师·塔中回声,开场对话,第四章·通天塔,我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。,我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。,,,tower_ascent_dialogue_02.wav,11-初代拓印师·塔中回声/141-tower_ascent.dialogue.02.txt,29
142,tower_ascent.dialogue.03,拓印师,开场对话,第四章·通天塔,可你也抹去了为什么相助，为什么重建，为什么等一个人回来。,可你也抹去了为什么相助，为什么重建，为什么等一个人回来。,,,tower_ascent_dialogue_03.wav,02-拓印师/142-tower_ascent.dialogue.03.txt,28
143,tower_ascent.dialogue.04,初代拓印师·塔中回声,开场对话,第四章·通天塔,我留下了完好的屋子，为什么里面越来越空？,我留下了完好的屋子，为什么里面越来越空。,是,？,tower_ascent_dialogue_04.wav,11-初代拓印师·塔中回声/143-tower_ascent.dialogue.04.txt,20
144,tower_ascent.dialogue.05,拓印师,开场对话,第四章·通天塔,因为活着的人会难过，也会改变。你替他们删掉了再次选择的来路。,因为活着的人会难过，也会改变。你替他们删掉了再次选择的来路。,,,tower_ascent_dialogue_05.wav,02-拓印师/144-tower_ascent.dialogue.05.txt,30
145,tower_ascent.dialogue.06,墨塔,开场对话,第四章·通天塔,把第一道墨线接回承重点，再净化逆结晶。不要替我辩解，替后来的人打开门。,把第一道墨线接回承重点，再净化逆结晶。不要替我辩解，替后来的人打开门。,,,tower_ascent_dialogue_06.wav,15-墨塔/145-tower_ascent.dialogue.06.txt,35
146,tower_ascent.clue.01,旁白,调查线索,第四章·通天塔,第一层谱页记着灾后重建，灾难被删去后，连伸手相助的缘由也消失了。,第一层谱页记着灾后重建，灾难被删去后，连伸手相助的缘由也消失了。,,,tower_ascent_clue_01.wav,01-旁白/146-tower_ascent.clue.01.txt,32
147,tower_ascent.clue.02,旁白,调查线索,第四章·通天塔,第七层承重线断在纸白处，斗拱能稳住结构，不能替它编造过去。,第七层承重线断在纸白处，斗拱能稳住结构，不能替它编造过去。,,,tower_ascent_clue_02.wav,01-旁白/147-tower_ascent.clue.02.txt,29
148,tower_ascent.clue.03,旁白,调查线索,第四章·通天塔,逆结晶把被删去的情绪压成白蚀。用藻井净化，让记忆重新可以被阅读。,逆结晶把被删去的情绪压成白蚀。用藻井净化，让记忆重新可以被阅读。,,,tower_ascent_clue_03.wav,01-旁白/148-tower_ascent.clue.03.txt,32
149,tower_ascent.beat.01,初代拓印师·塔中回声,调查呓语,第四章·通天塔,我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。,我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。,,,tower_ascent_beat_01.wav,11-初代拓印师·塔中回声/149-tower_ascent.beat.01.txt,29
150,tower_ascent.beat.02,拓印师,调查呓语,第四章·通天塔,可你也抹去了为什么相助，为什么重建，为什么等一个人回来。,可你也抹去了为什么相助，为什么重建，为什么等一个人回来。,,,tower_ascent_beat_02.wav,02-拓印师/150-tower_ascent.beat.02.txt,28
151,tower_ascent.beat.03,初代拓印师·塔中回声,调查呓语,第四章·通天塔,我留下了完好的屋子，为什么里面越来越空？,我留下了完好的屋子，为什么里面越来越空。,是,？,tower_ascent_beat_03.wav,11-初代拓印师·塔中回声/151-tower_ascent.beat.03.txt,20
152,tower_ascent.before_battle.01,墨塔,战前对话,第四章·通天塔,白蚀有三层。用斗拱护住承点、飞檐破开灰幕、藻井净化逆结晶；每种技艺都要在此回应一次。,白蚀有三层。用斗拱护住承点、飞檐破开灰幕、藻井净化逆结晶，每种技艺都要在此回应一次。,是,；,tower_ascent_before_battle.wav,15-墨塔/152-tower_ascent.before_battle.01.txt,42
153,tower_ascent.keep_response.01,初代回声,记住回应,第四章·通天塔,请连我的错误一起记下。别让后来的人只看见一座完好的塔。,请连我的错误一起记下。别让后来的人只看见一座完好的塔。,,,tower_ascent_keep.wav,19-初代回声/153-tower_ascent.keep_response.01.txt,27
154,tower_ascent.forget_response.01,墨塔,遗忘回应,第四章·通天塔,你又做了一次有限的取舍。承认自己无法全知，才不会把个人的谱当成整个世界。,你又做了一次有限的取舍。承认自己无法全知，才不会把个人的谱当成整个世界。,,,tower_ascent_forget.wav,15-墨塔/154-tower_ascent.forget_response.01.txt,36
155,tower_ascent.outro.01,旁白,事件结语,第四章·通天塔,三重白蚀散去，塔心显露一张空桌。初代的声音不再要求原谅，只把笔推向你：这次，由活着的人决定怎样接着写。,三重白蚀散去，塔心显露一张空桌。初代的声音不再要求原谅，只把笔推向你，这次，由活着的人决定怎样接着写。,是,：,tower_ascent_outro.wav,01-旁白/155-tower_ascent.outro.01.txt,51
156,tower_ascent.echo.01,墨灵回声,墨灵回声,第四章·通天塔,初代拓印师为永恒秩序抹去了所有战乱与悲痛。,初代拓印师为永恒秩序抹去了所有战乱与悲痛。,,,tower_origin.wav,05-墨灵回声/156-tower_ascent.echo.01.txt,21
157,tower_ledger.dialogue.01,檐下谱,开场对话,第四章·通天塔,长廊摆着你亲手拓下的记忆，也摆着你亲手放开的空页。两者都没有消失过。,长廊摆着你亲手拓下的记忆，也摆着你亲手放开的空页。两者都没有消失过。,,,tower_ledger_dialogue_01.wav,03-檐下谱/157-tower_ledger.dialogue.01.txt,34
158,tower_ledger.dialogue.02,拓印师,开场对话,第四章·通天塔,我来时想找回自己的名字，后来却一直在替别人留下声音。,我来时想找回自己的名字，后来却一直在替别人留下声音。,,,tower_ledger_dialogue_02.wav,02-拓印师/158-tower_ledger.dialogue.02.txt,26
159,tower_ledger.dialogue.03,廊桥的回声,开场对话,第四章·通天塔,你怎样等人归来，就是你的名字。,你怎样等人归来，就是你的名字。,,,tower_ledger_dialogue_03.wav,17-廊桥的回声/159-tower_ledger.dialogue.03.txt,15
160,tower_ledger.dialogue.04,戏楼的回声,开场对话,第四章·通天塔,你肯听下一句，就是你的名字。,你肯听下一句，就是你的名字。,,,tower_ledger_dialogue_04.wav,18-戏楼的回声/160-tower_ledger.dialogue.04.txt,14
161,tower_ledger.dialogue.05,初代拓印师·塔中回声,开场对话,第四章·通天塔,这支笔不该替所有人决定。你愿意把它交回去吗？,这支笔不该替所有人决定。你愿意把它交回去吗。,是,？,tower_ledger_dialogue_05.wav,11-初代拓印师·塔中回声/161-tower_ledger.dialogue.05.txt,22
162,tower_ledger.dialogue.06,拓印师,开场对话,第四章·通天塔,我会留下能够证实的记忆，也留下空白。愿意接笔的人，请从自己的故事开始。,我会留下能够证实的记忆，也留下空白。愿意接笔的人，请从自己的故事开始。,,,tower_ledger_dialogue_06.wav,02-拓印师/162-tower_ledger.dialogue.06.txt,35
163,tower_ledger.clue.01,旁白,调查线索,第四章·通天塔,记住的拓印仍有颜色，它们是这趟旅程真实携带的部分。,记住的拓印仍有颜色，它们是这趟旅程真实携带的部分。,,,tower_ledger_clue_01.wav,01-旁白/163-tower_ledger.clue.01.txt,25
164,tower_ledger.clue.02,旁白,调查线索,第四章·通天塔,遗忘页的账册没有被擦掉。承认取舍，才能看见自己记忆的边界。,遗忘页的账册没有被擦掉。承认取舍，才能看见自己记忆的边界。,,,tower_ledger_clue_02.wav,01-旁白/164-tower_ledger.clue.02.txt,29
165,tower_ledger.clue.03,旁白,调查线索,第四章·通天塔,桌上有三支未用的笔。世界的后续应由不止一个人写下。,桌上有三支未用的笔。世界的后续应由不止一个人写下。,,,tower_ledger_clue_03.wav,01-旁白/165-tower_ledger.clue.03.txt,25
166,tower_ledger.beat.01,拓印师,调查呓语,第四章·通天塔,我来时想找回自己的名字，后来却一直在替别人留下声音。,我来时想找回自己的名字，后来却一直在替别人留下声音。,,,tower_ledger_beat_01.wav,02-拓印师/166-tower_ledger.beat.01.txt,26
167,tower_ledger.beat.02,廊桥的回声,调查呓语,第四章·通天塔,你怎样等人归来，就是你的名字。,你怎样等人归来，就是你的名字。,,,tower_ledger_beat_02.wav,17-廊桥的回声/167-tower_ledger.beat.02.txt,15
168,tower_ledger.beat.03,戏楼的回声,调查呓语,第四章·通天塔,你肯听下一句，就是你的名字。,你肯听下一句，就是你的名字。,,,tower_ledger_beat_03.wav,18-戏楼的回声/168-tower_ledger.beat.03.txt,14
169,tower_ledger.keep_response.01,檐下谱,记住回应,第四章·通天塔,这本谱终于有了最后一页——但没有写‘终’。,这本谱终于有了最后一页，但没有写终。,是,—‘’,tower_ledger_keep.wav,03-檐下谱/169-tower_ledger.keep_response.01.txt,18
170,tower_ledger.forget_response.01,檐下谱,遗忘回应,第四章·通天塔,你为新页放下了一段旧声。它仍在账册里，提醒后来的人：这只是你的一种选择。,你为新页放下了一段旧声。它仍在账册里，提醒后来的人，这只是你的一种选择。,是,：,tower_ledger_forget.wav,03-檐下谱/170-tower_ledger.forget_response.01.txt,36
171,tower_ledger.outro.01,旁白,事件结语,第四章·通天塔,你把檐下谱放在塔门口。有人补上家门前的桥，有人画出从未登台的孩子，也有人在空白处写下疑问。屋檐不再只收留过去，它开始收留明天。,你把檐下谱放在塔门口。有人补上家门前的桥，有人画出从未登台的孩子，也有人在空白处写下疑问。屋檐不再只收留过去，它开始收留明天。,,,tower_ledger_outro.wav,01-旁白/171-tower_ledger.outro.01.txt,63
172,tower_ledger.echo.01,墨灵回声,墨灵回声,第四章·通天塔,只记住值得记住的，让世界自己选择颜色。,只记住值得记住的，让世界自己选择颜色。,,,tower_epilogue.wav,05-墨灵回声/172-tower_ledger.echo.01.txt,19
173,failure_scene.failure.01,檐下谱,失败结局,全章节,你退到了飞鸟山。这条石阶上，落着所有没能带回去的记忆。,你退到了飞鸟山。这条石阶上，落着所有没能带回去的记忆。,,,failure_line_01.wav,03-檐下谱/173-failure_scene.failure.01.txt,27
174,failure_scene.failure.02,拓印师,失败结局,全章节,只差最后一步。构件归位了，墨线描完了，白蚀也散了。,只差最后一步。构件归位了，墨线描完了，白蚀也散了。,,,failure_line_02.wav,02-拓印师/174-failure_scene.failure.02.txt,25
175,failure_scene.failure.03,飞鸟山,失败结局,全章节,差的那一步是我。你把我的残迹当成一页脏墨——擦干净，再写上你记得的样子。,差的那一步是我。你把我的残迹当成一页脏墨，擦干净，再写上你记得的样子。,是,—,failure_line_03.wav,14-飞鸟山/175-failure_scene.failure.03.txt,35
176,failure_scene.failure.04,拓印师,失败结局,全章节,我把你修回原来的样子，哪里不对？,我把你修回原来的样子，哪里不对。,是,？,failure_line_04.wav,02-拓印师/176-failure_scene.failure.04.txt,16
177,failure_scene.failure.05,飞鸟山,失败结局,全章节,你要的不是原来的我，是一个被你修好的我。,你要的不是原来的我，是一个被你修好的我。,,,failure_line_05.wav,14-飞鸟山/177-failure_scene.failure.05.txt,20
178,failure_scene.failure.06,拓印师,失败结局,全章节,我只是不想让你们再忘下去。,我只是不想让你们再忘下去。,,,failure_line_06.wav,02-拓印师/178-failure_scene.failure.06.txt,13
179,failure_scene.failure.07,飞鸟山,失败结局,全章节,你是想让我停在你还记得我的那一天。,你是想让我停在你还记得我的那一天。,,,failure_line_07.wav,14-飞鸟山/179-failure_scene.failure.07.txt,17
181,failure_scene.failure.09,飞鸟山,失败结局,全章节,你这个人，满脑子只想着自己呢。,你这个人，满脑子只想着自己呢。,,,failure_line_09.wav,14-飞鸟山/181-failure_scene.failure.09.txt,15
182,failure_scene.failure_first.01,檐下谱,失败结局首句,全章节,你退到了飞鸟山。墨已经耗干了。,你退到了飞鸟山。墨已经耗干了。,,,failure_first_erosion_limit.wav,03-檐下谱/182-failure_scene.failure_first.01.txt,15
183,failure_scene.failure_first.02,檐下谱,失败结局首句,全章节,你退到了飞鸟山。这一回，你的手抖得太厉害了。,你退到了飞鸟山。这一回，你的手抖得太厉害了。,,,failure_first_puzzle_attempt_limit.wav,03-檐下谱/183-failure_scene.failure_first.02.txt,22
184,failure_scene.failure_first.03,檐下谱,失败结局首句,全章节,你退到了飞鸟山。白蚀还在，你的手已经抬不起来了。,你退到了飞鸟山。白蚀还在，你的手已经抬不起来了。,,,failure_first_battle_requirements_not_met.wav,03-檐下谱/184-failure_scene.failure_first.03.txt,24
185,failure_scene.failure_first.04,檐下谱,失败结局首句,全章节,你退到了飞鸟山。这段路，你走得太久了。,你退到了飞鸟山。这段路，你走得太久了。,,,failure_first_session_expired.wav,03-檐下谱/185-failure_scene.failure_first.04.txt,19
