Godot Engine v4.5.2.stable.official.6ce3de25a - https://godotengine.org

[   0% ] first_scan_filesystem | Started 项目初始化 (5 steps)
[  52% ] savepack | 保存文件：res://.godot/imported/opera_opening_outro.wav-380afeba4ce070d2b1b36dd248820a55.sample
[  52% ] savepack | 保存文件：res://assets/voice/opera_opening_outro.wav.import
[  53% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_beat_01.wav-afbb62e4ef3a5a6c15a322c17947e6b7.sample
[  53% ] savepack | 保存文件：res://assets/voice/prologue_bridge_beat_01.wav.import
[  53% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_beat_02.wav-adbba8047d803f34d94414dcd6a6b3f9.sample
[  53% ] savepack | 保存文件：res://assets/voice/prologue_bridge_beat_02.wav.import
[  53% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_beat_03.wav-e6cc4038878743ddd02dc8d1ad4782e6.sample
[  53% ] savepack | 保存文件：res://assets/voice/prologue_bridge_beat_03.wav.import
[  54% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_before_battle.wav-8474eac981dc7ed3d30e3aa20940d86e.sample
[  54% ] savepack | 保存文件：res://assets/voice/prologue_bridge_before_battle.wav.import
[  54% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_clue_01.wav-5a1c0170becc2f1eedfc184ab5e44e43.sample
[  54% ] savepack | 保存文件：res://assets/voice/prologue_bridge_clue_01.wav.import
[  55% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_clue_02.wav-90445f0df26c2bb4ddf6c83b7313d393.sample
[  55% ] savepack | 保存文件：res://assets/voice/prologue_bridge_clue_02.wav.import
[  55% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_clue_03.wav-526a68a45fb18fae9c775eef4962a2e4.sample
[  55% ] savepack | 保存文件：res://assets/voice/prologue_bridge_clue_03.wav.import
[  55% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_dialogue_01.wav-66fd308e99bc5e8633b5adb81bfcdfd7.sample
[  55% ] savepack | 保存文件：res://assets/voice/prologue_bridge_dialogue_01.wav.import
[  56% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_dialogue_02.wav-da831584ecd7ffef2b23492e59f376ed.sample
[  56% ] savepack | 保存文件：res://assets/voice/prologue_bridge_dialogue_02.wav.import
[  56% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_dialogue_03.wav-ed27a7a9a3a610590c89ab0829b2415c.sample
[  56% ] savepack | 保存文件：res://assets/voice/prologue_bridge_dialogue_03.wav.import
[  57% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_dialogue_04.wav-2950efe3d7dc49c00d9f30d7b6c7f218.sample
[  57% ] savepack | 保存文件：res://assets/voice/prologue_bridge_dialogue_04.wav.import
[  57% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_dialogue_05.wav-864b363238eda7bb5d5b536dd0e21319.sample
[  57% ] savepack | 保存文件：res://assets/voice/prologue_bridge_dialogue_05.wav.import
[  57% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_dialogue_06.wav-d01aacb0b1743b42068c1c063cff31b6.sample
[  57% ] savepack | 保存文件：res://assets/voice/prologue_bridge_dialogue_06.wav.import
[  58% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_forget.wav-3f575f8be59d9aa45b9cda944127c6ec.sample
[  58% ] savepack | 保存文件：res://assets/voice/prologue_bridge_forget.wav.import
[  58% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_keep.wav-1af1c6f1b3f1c92d8b306f14d882f9fe.sample
[  58% ] savepack | 保存文件：res://assets/voice/prologue_bridge_keep.wav.import
[  59% ] savepack | 保存文件：res://.godot/imported/prologue_bridge_outro.wav-56acfd575252d4097700548401904680.sample
[  59% ] savepack | 保存文件：res://assets/voice/prologue_bridge_outro.wav.import
[  59% ] savepack | 保存文件：res://.godot/imported/she_cheng_xiang.wav-58374998dff774cb4bac0c1f02231497.sample
[  59% ] savepack | 保存文件：res://assets/voice/she_cheng_xiang.wav.import
[  59% ] savepack | 保存文件：res://.godot/imported/she_hui_chun.wav-882cae26fd4232adeed986b87a08af15.sample
[  59% ] savepack | 保存文件：res://assets/voice/she_hui_chun.wav.import
[  60% ] savepack | 保存文件：res://.godot/imported/she_ning_an.wav-b329bc6195c2eeca8ceb3f66861065d0.sample
[  60% ] savepack | 保存文件：res://assets/voice/she_ning_an.wav.import
[  60% ] savepack | 保存文件：res://.godot/imported/temple_drum_beat_01.wav-d5e1d4d8a46b3d9682635d9d7792aa38.sample
[  60% ] savepack | 保存文件：res://assets/voice/temple_drum_beat_01.wav.import
[  61% ] savepack | 保存文件：res://.godot/imported/temple_drum_beat_02.wav-a1601c99a6fad7e9829628c6a0c8c506.sample
[  61% ] savepack | 保存文件：res://assets/voice/temple_drum_beat_02.wav.import
[  61% ] savepack | 保存文件：res://.godot/imported/temple_drum_beat_03.wav-2e64d8e7f3f80938977d0ba715c9bd67.sample
[  61% ] savepack | 保存文件：res://assets/voice/temple_drum_beat_03.wav.import
[  61% ] savepack | 保存文件：res://.godot/imported/temple_drum_before_battle.wav-988ae0171c1fada31db6d1c90e7d2c03.sample
[  61% ] savepack | 保存文件：res://assets/voice/temple_drum_before_battle.wav.import
[  62% ] savepack | 保存文件：res://.godot/imported/temple_drum_chapter_outro.wav-16540631094da670654eaeed9f851693.sample
[  62% ] savepack | 保存文件：res://assets/voice/temple_drum_chapter_outro.wav.import
[  62% ] savepack | 保存文件：res://.godot/imported/temple_drum_clue_01.wav-c2af32f0f5dc0a50caa0fab2c1fdd971.sample
[  62% ] savepack | 保存文件：res://assets/voice/temple_drum_clue_01.wav.import
[  62% ] savepack | 保存文件：res://.godot/imported/temple_drum_clue_02.wav-e48677dbe91ea6c1e4b02ffa2f0e06c6.sample
[  62% ] savepack | 保存文件：res://assets/voice/temple_drum_clue_02.wav.import
[  63% ] savepack | 保存文件：res://.godot/imported/temple_drum_clue_03.wav-711428e197a8b7a68b718e0da8792760.sample
[  63% ] savepack | 保存文件：res://assets/voice/temple_drum_clue_03.wav.import
[  63% ] savepack | 保存文件：res://.godot/imported/temple_drum_dialogue_01.wav-d32217c1e2abf371c85fa71086d6773b.sample
[  63% ] savepack | 保存文件：res://assets/voice/temple_drum_dialogue_01.wav.import
[  64% ] savepack | 保存文件：res://.godot/imported/temple_drum_dialogue_02.wav-c3ca1d4670ddb96472e4ec7678926c9c.sample
[  64% ] savepack | 保存文件：res://assets/voice/temple_drum_dialogue_02.wav.import
[  64% ] savepack | 保存文件：res://.godot/imported/temple_drum_dialogue_03.wav-68ce9b1a1ba093ecc709a69aed843fae.sample
[  64% ] savepack | 保存文件：res://assets/voice/temple_drum_dialogue_03.wav.import
[  64% ] savepack | 保存文件：res://.godot/imported/temple_drum_dialogue_04.wav-175e5ad0e113fcfef87fb6a41c3a6c12.sample
[  64% ] savepack | 保存文件：res://assets/voice/temple_drum_dialogue_04.wav.import
[  65% ] savepack | 保存文件：res://.godot/imported/temple_drum_dialogue_05.wav-13c2ab73dce2b42d1b9206c8f68a3758.sample
[  65% ] savepack | 保存文件：res://assets/voice/temple_drum_dialogue_05.wav.import
[  65% ] savepack | 保存文件：res://.godot/imported/temple_drum_dialogue_06.wav-53b0e968176a64411566aa868a44d0f2.sample
[  65% ] savepack | 保存文件：res://assets/voice/temple_drum_dialogue_06.wav.import
[  66% ] savepack | 保存文件：res://.godot/imported/temple_drum_forget.wav-448d5a8667731db80714f9ca70391d69.sample
[  66% ] savepack | 保存文件：res://assets/voice/temple_drum_forget.wav.import
[  66% ] savepack | 保存文件：res://.godot/imported/temple_drum_keep.wav-08a1a9c92665f6b0842b8fcbfdc48b59.sample
[  66% ] savepack | 保存文件：res://assets/voice/temple_drum_keep.wav.import
[  66% ] savepack | 保存文件：res://.godot/imported/temple_drum_outro.wav-f6938d04740fb95194410232d7b7c6d9.sample
[  66% ] savepack | 保存文件：res://assets/voice/temple_drum_outro.wav.import
[  66% ] savepack | 保存文件：res://.godot/imported/temple_guest_beat_01.wav-02f61894190359584372593596c60d26.sample
[  66% ] savepack | 保存文件：res://assets/voice/temple_guest_beat_01.wav.import
[  66% ] savepack | 保存文件：res://.godot/imported/temple_guest_beat_02.wav-4fa8f57c7e61690ea9f2acacae87f0ff.sample
[  66% ] savepack | 保存文件：res://assets/voice/temple_guest_beat_02.wav.import
[  67% ] savepack | 保存文件：res://.godot/imported/temple_guest_beat_03.wav-3b79fbf353dbd445d28ac3483b008b7b.sample
[  67% ] savepack | 保存文件：res://assets/voice/temple_guest_beat_03.wav.import
[  67% ] savepack | 保存文件：res://.godot/imported/temple_guest_before_battle.wav-b7f6482fd9228abb66600fc64eccc5ea.sample
[  67% ] savepack | 保存文件：res://assets/voice/temple_guest_before_battle.wav.import
[  67% ] savepack | 保存文件：res://.godot/imported/temple_guest_clue_01.wav-9f00cb6be79fe23867626a39d8171024.sample
[  67% ] savepack | 保存文件：res://assets/voice/temple_guest_clue_01.wav.import
[  68% ] savepack | 保存文件：res://.godot/imported/temple_guest_clue_02.wav-99edfcd1a2e43c218f7cf1609b59e8d4.sample
[  68% ] savepack | 保存文件：res://assets/voice/temple_guest_clue_02.wav.import
[  68% ] savepack | 保存文件：res://.godot/imported/temple_guest_clue_03.wav-13e43c580ebf7ab0cf6d0b22f4b6ed40.sample
[  68% ] savepack | 保存文件：res://assets/voice/temple_guest_clue_03.wav.import
[  69% ] savepack | 保存文件：res://.godot/imported/temple_guest_dialogue_01.wav-3694ad500408c6c611e8ca3aa6fc98e7.sample
[  69% ] savepack | 保存文件：res://assets/voice/temple_guest_dialogue_01.wav.import
[  69% ] savepack | 保存文件：res://.godot/imported/temple_guest_dialogue_02.wav-c3d2326b990a90f0fe0707e5677441e0.sample
[  69% ] savepack | 保存文件：res://assets/voice/temple_guest_dialogue_02.wav.import
[  69% ] savepack | 保存文件：res://.godot/imported/temple_guest_dialogue_03.wav-80f70b4924c5dbb5c1533a40a12ec5bc.sample
[  69% ] savepack | 保存文件：res://assets/voice/temple_guest_dialogue_03.wav.import
[  70% ] savepack | 保存文件：res://.godot/imported/temple_guest_dialogue_04.wav-18c76a92aa1c86c7a083b6c1cf33ba18.sample
[  70% ] savepack | 保存文件：res://assets/voice/temple_guest_dialogue_04.wav.import
[  70% ] savepack | 保存文件：res://.godot/imported/temple_guest_dialogue_05.wav-f599dd054088f654bd49b80090a1f29a.sample
[  70% ] savepack | 保存文件：res://assets/voice/temple_guest_dialogue_05.wav.import
[  71% ] savepack | 保存文件：res://.godot/imported/temple_guest_dialogue_06.wav-20c38d4bc92083480f8c75bb55988359.sample
[  71% ] savepack | 保存文件：res://assets/voice/temple_guest_dialogue_06.wav.import
[  71% ] savepack | 保存文件：res://.godot/imported/temple_guest_forget.wav-ff06d1ff3135626d4199c25175263241.sample
[  71% ] savepack | 保存文件：res://assets/voice/temple_guest_forget.wav.import
[  71% ] savepack | 保存文件：res://.godot/imported/temple_guest_keep.wav-90fb7ad5d173b9a18f5c9af8c608dfa2.sample
[  71% ] savepack | 保存文件：res://assets/voice/temple_guest_keep.wav.import
[  72% ] savepack | 保存文件：res://.godot/imported/temple_guest_outro.wav-f9b78dd2fd2a0fd1d782c2907335afcc.sample
[  72% ] savepack | 保存文件：res://assets/voice/temple_guest_outro.wav.import
[  72% ] savepack | 保存文件：res://.godot/imported/temple_incense_beat_01.wav-2a65cf670d4bfd29b47dff3e1bc7f2b3.sample
[  72% ] savepack | 保存文件：res://assets/voice/temple_incense_beat_01.wav.import
[  73% ] savepack | 保存文件：res://.godot/imported/temple_incense_beat_02.wav-037b37995d5b6941e111934417d8f4e4.sample
[  73% ] savepack | 保存文件：res://assets/voice/temple_incense_beat_02.wav.import
[  73% ] savepack | 保存文件：res://.godot/imported/temple_incense_beat_03.wav-4787464bf0fe294029b5e9e8e84f0e92.sample
[  73% ] savepack | 保存文件：res://assets/voice/temple_incense_beat_03.wav.import
[  73% ] savepack | 保存文件：res://.godot/imported/temple_incense_before_battle.wav-b0c13bde7b87312bbd54094f2866c4eb.sample
[  73% ] savepack | 保存文件：res://assets/voice/temple_incense_before_battle.wav.import
[  74% ] savepack | 保存文件：res://.godot/imported/temple_incense_clue_01.wav-86fc0cd6e48e0fd7443ee951cd990c76.sample
[  74% ] savepack | 保存文件：res://assets/voice/temple_incense_clue_01.wav.import
[  74% ] savepack | 保存文件：res://.godot/imported/temple_incense_clue_02.wav-343c6e77d3aec2d2951c109f5aa71927.sample
[  74% ] savepack | 保存文件：res://assets/voice/temple_incense_clue_02.wav.import
[  74% ] savepack | 保存文件：res://.godot/imported/temple_incense_clue_03.wav-2e021a218e5b47ecf6a49fb3a635a396.sample
[  74% ] savepack | 保存文件：res://assets/voice/temple_incense_clue_03.wav.import
[  75% ] savepack | 保存文件：res://.godot/imported/temple_incense_dialogue_01.wav-f54c72b12d9504d827db3f74c121d7df.sample
[  75% ] savepack | 保存文件：res://assets/voice/temple_incense_dialogue_01.wav.import
[  75% ] savepack | 保存文件：res://.godot/imported/temple_incense_dialogue_02.wav-f46ee6508451b8cc8abdb82e36f57d58.sample
[  75% ] savepack | 保存文件：res://assets/voice/temple_incense_dialogue_02.wav.import
[  76% ] savepack | 保存文件：res://.godot/imported/temple_incense_dialogue_03.wav-282b678ff23e4e180827486802776b97.sample
[  76% ] savepack | 保存文件：res://assets/voice/temple_incense_dialogue_03.wav.import
[  76% ] savepack | 保存文件：res://.godot/imported/temple_incense_dialogue_04.wav-5b7d2291c49692a74c293fd8ba4808d0.sample
[  76% ] savepack | 保存文件：res://assets/voice/temple_incense_dialogue_04.wav.import
[  76% ] savepack | 保存文件：res://.godot/imported/temple_incense_dialogue_05.wav-971f23d1b3ed7e814632dcf12b858c8f.sample
[  76% ] savepack | 保存文件：res://assets/voice/temple_incense_dialogue_05.wav.import
[  77% ] savepack | 保存文件：res://.godot/imported/temple_incense_dialogue_06.wav-521766b51682f7739d6acac6c5f42425.sample
[  77% ] savepack | 保存文件：res://assets/voice/temple_incense_dialogue_06.wav.import
[  77% ] savepack | 保存文件：res://.godot/imported/temple_incense_forget.wav-ddd35c36db96f5b99971b1c1a7dfaa25.sample
[  77% ] savepack | 保存文件：res://assets/voice/temple_incense_forget.wav.import
[  78% ] savepack | 保存文件：res://.godot/imported/temple_incense_keep.wav-e71b82e71053c130e99857009f33bf90.sample
[  78% ] savepack | 保存文件：res://assets/voice/temple_incense_keep.wav.import
[  78% ] savepack | 保存文件：res://.godot/imported/temple_incense_outro.wav-e36200024c412775d8315672db0ffd4a.sample
[  78% ] savepack | 保存文件：res://assets/voice/temple_incense_outro.wav.import
[  78% ] savepack | 保存文件：res://.godot/imported/tower_ascent_beat_01.wav-3002249cfaabf0e44abe735ff53bf64a.sample
[  78% ] savepack | 保存文件：res://assets/voice/tower_ascent_beat_01.wav.import
[  79% ] savepack | 保存文件：res://.godot/imported/tower_ascent_beat_02.wav-110f14107939aa144f277bbc92ee84da.sample
[  79% ] savepack | 保存文件：res://assets/voice/tower_ascent_beat_02.wav.import
[  79% ] savepack | 保存文件：res://.godot/imported/tower_ascent_beat_03.wav-3987996e5bf9d9faf07b4c9713c878bc.sample
[  79% ] savepack | 保存文件：res://assets/voice/tower_ascent_beat_03.wav.import
[  80% ] savepack | 保存文件：res://.godot/imported/tower_ascent_before_battle.wav-0e692b769533ea21f17a23c103fa2f80.sample
[  80% ] savepack | 保存文件：res://assets/voice/tower_ascent_before_battle.wav.import
[  80% ] savepack | 保存文件：res://.godot/imported/tower_ascent_clue_01.wav-523b05b4364006c8658cf2ee2bfd76dc.sample
[  80% ] savepack | 保存文件：res://assets/voice/tower_ascent_clue_01.wav.import
[  80% ] savepack | 保存文件：res://.godot/imported/tower_ascent_clue_02.wav-7f5a2d275cc27268d25aba600a5cda48.sample
[  80% ] savepack | 保存文件：res://assets/voice/tower_ascent_clue_02.wav.import
[  81% ] savepack | 保存文件：res://.godot/imported/tower_ascent_clue_03.wav-38cdfa55545fce5d3cb9ea5f5c9886a4.sample
[  81% ] savepack | 保存文件：res://assets/voice/tower_ascent_clue_03.wav.import
[  81% ] savepack | 保存文件：res://.godot/imported/tower_ascent_dialogue_01.wav-f85faa923479a6d40777aba627725472.sample
[  81% ] savepack | 保存文件：res://assets/voice/tower_ascent_dialogue_01.wav.import
[  82% ] savepack | 保存文件：res://.godot/imported/tower_ascent_dialogue_02.wav-766e1af575f825014469074b12f38c70.sample
[  82% ] savepack | 保存文件：res://assets/voice/tower_ascent_dialogue_02.wav.import
[  82% ] savepack | 保存文件：res://.godot/imported/tower_ascent_dialogue_03.wav-3bcd8a9e6ac12c33c5066693481572c0.sample
[  82% ] savepack | 保存文件：res://assets/voice/tower_ascent_dialogue_03.wav.import
[  82% ] savepack | 保存文件：res://.godot/imported/tower_ascent_dialogue_04.wav-eb274db3c5d71305bc78217e3020430d.sample
[  82% ] savepack | 保存文件：res://assets/voice/tower_ascent_dialogue_04.wav.import
[  83% ] savepack | 保存文件：res://.godot/imported/tower_ascent_dialogue_05.wav-c42e967f1cd71716f5509472a9eb85c7.sample
[  83% ] savepack | 保存文件：res://assets/voice/tower_ascent_dialogue_05.wav.import
[  83% ] savepack | 保存文件：res://.godot/imported/tower_ascent_dialogue_06.wav-421b51737f02203137c91448854e0d8a.sample
[  83% ] savepack | 保存文件：res://assets/voice/tower_ascent_dialogue_06.wav.import
[  84% ] savepack | 保存文件：res://.godot/imported/tower_ascent_forget.wav-0820366afaaeb703ca5da9a21b042cd7.sample
[  84% ] savepack | 保存文件：res://assets/voice/tower_ascent_forget.wav.import
[  84% ] savepack | 保存文件：res://.godot/imported/tower_ascent_keep.wav-a56255816829567c00e13545d5ba6139.sample
[  84% ] savepack | 保存文件：res://assets/voice/tower_ascent_keep.wav.import
[  84% ] savepack | 保存文件：res://.godot/imported/tower_ascent_outro.wav-138fd8fc59a79c39c9cd2884b5101a89.sample
[  84% ] savepack | 保存文件：res://assets/voice/tower_ascent_outro.wav.import
[  85% ] savepack | 保存文件：res://.godot/imported/tower_epilogue.wav-537b50ae99d97a7cd8c563f934317011.sample
[  85% ] savepack | 保存文件：res://assets/voice/tower_epilogue.wav.import
[  85% ] savepack | 保存文件：res://.godot/imported/tower_ledger_beat_01.wav-933a22c9e696d9ccdb6731747838ee11.sample
[  85% ] savepack | 保存文件：res://assets/voice/tower_ledger_beat_01.wav.import
[  86% ] savepack | 保存文件：res://.godot/imported/tower_ledger_beat_02.wav-29b93fb3bfc2c55696563aca44a10323.sample
[  86% ] savepack | 保存文件：res://assets/voice/tower_ledger_beat_02.wav.import
[  86% ] savepack | 保存文件：res://.godot/imported/tower_ledger_beat_03.wav-debdc2da046cd1f3ad3f8d5874d54824.sample
[  86% ] savepack | 保存文件：res://assets/voice/tower_ledger_beat_03.wav.import
[  86% ] savepack | 保存文件：res://.godot/imported/tower_ledger_clue_01.wav-a69c6587a662f89c3ad65312f0414d0a.sample
[  86% ] savepack | 保存文件：res://assets/voice/tower_ledger_clue_01.wav.import
[  87% ] savepack | 保存文件：res://.godot/imported/tower_ledger_clue_02.wav-3ae6fdb775afde2a202303f9bfa6055c.sample
[  87% ] savepack | 保存文件：res://assets/voice/tower_ledger_clue_02.wav.import
[  87% ] savepack | 保存文件：res://.godot/imported/tower_ledger_clue_03.wav-10d4d214e50c816bbb8176ae7bfc5c8b.sample
[  87% ] savepack | 保存文件：res://assets/voice/tower_ledger_clue_03.wav.import
[  87% ] savepack | 保存文件：res://.godot/imported/tower_ledger_dialogue_01.wav-b214cd5808cc7a815612742b181dc171.sample
[  87% ] savepack | 保存文件：res://assets/voice/tower_ledger_dialogue_01.wav.import
[  88% ] savepack | 保存文件：res://.godot/imported/tower_ledger_dialogue_02.wav-29c5425463174e036b6444e06ceb4cb1.sample
[  88% ] savepack | 保存文件：res://assets/voice/tower_ledger_dialogue_02.wav.import
[  88% ] savepack | 保存文件：res://.godot/imported/tower_ledger_dialogue_03.wav-e47440cc4edb8e8854de5324d7e436fa.sample
[  88% ] savepack | 保存文件：res://assets/voice/tower_ledger_dialogue_03.wav.import
[  89% ] savepack | 保存文件：res://.godot/imported/tower_ledger_dialogue_04.wav-1132d3a4894572f83bd7dd7990b03084.sample
[  89% ] savepack | 保存文件：res://assets/voice/tower_ledger_dialogue_04.wav.import
[  89% ] savepack | 保存文件：res://.godot/imported/tower_ledger_dialogue_05.wav-bf6211f1469f2fcbe582559b0e591766.sample
[  89% ] savepack | 保存文件：res://assets/voice/tower_ledger_dialogue_05.wav.import
[  89% ] savepack | 保存文件：res://.godot/imported/tower_ledger_dialogue_06.wav-dbb8cdcc108c044c9fa78c4559331857.sample
[  89% ] savepack | 保存文件：res://assets/voice/tower_ledger_dialogue_06.wav.import
[  90% ] savepack | 保存文件：res://.godot/imported/tower_ledger_forget.wav-3f614dd20c20350b4bbf05ca59646089.sample
[  90% ] savepack | 保存文件：res://assets/voice/tower_ledger_forget.wav.import
[  90% ] savepack | 保存文件：res://.godot/imported/tower_ledger_keep.wav-f07b4dae1eb2114034cc3f3ee7df4872.sample
[  90% ] savepack | 保存文件：res://assets/voice/tower_ledger_keep.wav.import
[  91% ] savepack | 保存文件：res://.godot/imported/tower_ledger_outro.wav-72aeba9ddafa2b46216e921eafba8385.sample
[  91% ] savepack | 保存文件：res://assets/voice/tower_ledger_outro.wav.import
[  91% ] savepack | 保存文件：res://.godot/imported/tower_origin.wav-a8ef19e066b9c574485b084506912136.sample
[  91% ] savepack | 保存文件：res://assets/voice/tower_origin.wav.import
[  91% ] savepack | 保存文件：res://.godot/imported/xi_jue_chang.wav-4fd42f94f938311c23e214165471bbff.sample
[  91% ] savepack | 保存文件：res://assets/voice/xi_jue_chang.wav.import
[  92% ] savepack | 保存文件：res://.godot/imported/xi_xing_qiang.wav-4b7db79848dc0913b7c064d4a5f72f41.sample
[  92% ] savepack | 保存文件：res://assets/voice/xi_xing_qiang.wav.import
[  92% ] savepack | 保存文件：res://.godot/imported/yan_ping_an.wav-a4c0228e5ac3f57d8301e1366b56ae5e.sample
[  92% ] savepack | 保存文件：res://assets/voice/yan_ping_an.wav.import
[  93% ] savepack | 保存文件：res://.godot/imported/logo.png-e2220799298e3631eb0e245316e0501a.ctex
[  93% ] savepack | 保存文件：res://assets/logo.png.import
[  93% ] savepack | 保存文件：res://.godot/imported/logo.svg-01597fe4b7eb446be26a49e8a22b6f42.ctex
[  93% ] savepack | 保存文件：res://assets/logo.svg.import
[  93% ] savepack | 保存文件：res://.godot/exported/133200997/export-3ad5c15c4f3250da0cc7c1af1770d85f-main.scn
[  94% ] savepack | 保存文件：res://scripts/battle_arena.gdc
[  94% ] savepack | 保存文件：res://scripts/building_scene.gdc
[  95% ] savepack | 保存文件：res://scripts/data_repository.gdc
[  95% ] savepack | 保存文件：res://scripts/dialogue_stage.gdc
[  95% ] savepack | 保存文件：res://scripts/game_state.gdc
[  96% ] savepack | 保存文件：res://scripts/ink_figure.gdc
[  96% ] savepack | 保存文件：res://scripts/join_canvas.gdc
[  97% ] savepack | 保存文件：res://scripts/main.gdc
[  97% ] savepack | 保存文件：res://scripts/network_client.gdc
[  97% ] savepack | 保存文件：res://scripts/pattern_option.gdc
[  98% ] savepack | 保存文件：res://scripts/skill_scene.gdc
[  98% ] savepack | 保存文件：res://scripts/soundscape.gdc
[  98% ] savepack | 保存文件：res://scripts/trace_canvas.gd.remap
[  98% ] savepack | 保存文件：res://scenes/main.tscn.remap
[  98% ] savepack | 保存文件：res://scripts/battle_arena.gd.remap
[  98% ] savepack | 保存文件：res://scripts/building_scene.gd.remap
[  98% ] savepack | 保存文件：res://scripts/data_repository.gd.remap
[  98% ] savepack | 保存文件：res://scripts/dialogue_stage.gd.remap
[  98% ] savepack | 保存文件：res://scripts/game_state.gd.remap
[  98% ] savepack | 保存文件：res://scripts/ink_figure.gd.remap
[  98% ] savepack | 保存文件：res://scripts/join_canvas.gd.remap
[  98% ] savepack | 保存文件：res://scripts/main.gd.remap
[  98% ] savepack | 保存文件：res://scripts/network_client.gd.remap
[  98% ] savepack | 保存文件：res://scripts/pattern_option.gd.remap
[  98% ] savepack | 保存文件：res://scripts/skill_scene.gd.remap
[  98% ] savepack | 保存文件：res://scripts/soundscape.gd.remap
[  98% ] savepack | 保存文件：res://.godot/global_script_class_cache.cfg
[  98% ] savepack | 保存文件：res://assets/logo.svg
[  98% ] savepack | 保存文件：res://assets/logo.png
[  98% ] savepack | 保存文件：res://.godot/uid_cache.bin
[  98% ] savepack | 保存文件：res://project.binary
[ DONE ] savepack

