行ID,类别,章节,事件,说话人,台词,状态,现有音频,所属音频组,建议音频文件名,字数
"archway_craftsman.outro.01","事件结语","第三章·牌坊","archway_craftsman","","刻痕连成通向七层墨塔的路线。檐下谱扩至七格，却仍装不下所有故事。塔顶传来一个陌生而熟悉的声音：我曾经试过，让世上再无悲伤。","待新增","","","archway_craftsman_outro.wav",61
"archway_craftsman.echo.01","墨灵回声","第三章·牌坊","archway_craftsman","墨灵回声","名字可以被风吹散，手艺留下的结构不会。","已有配音","fang_jiang_hun.wav","fang_jiang_hun.wav（墨灵：坊·匠魂）","fang_jiang_hun.wav",19
"tower_ascent.dialogue.01","开场对话","第四章·通天塔","tower_ascent","檐下谱","墨塔每层都收着被删去的谱页。越往上，纸越白，人的轮廓也越淡。","待新增","","","tower_ascent_dialogue_01.wav",30
"tower_ascent.dialogue.02","开场对话","第四章·通天塔","tower_ascent","初代拓印师·塔中回声","我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。","待新增","","","tower_ascent_dialogue_02.wav",29
"tower_ascent.dialogue.03","开场对话","第四章·通天塔","tower_ascent","拓印师","可你也抹去了为什么相助，为什么重建，为什么等一个人回来。","待新增","","","tower_ascent_dialogue_03.wav",28
"tower_ascent.dialogue.04","开场对话","第四章·通天塔","tower_ascent","初代拓印师·塔中回声","我留下了完好的屋子，为什么里面越来越空？","待新增","","","tower_ascent_dialogue_04.wav",20
"tower_ascent.dialogue.05","开场对话","第四章·通天塔","tower_ascent","拓印师","因为活着的人会难过，也会改变。你替他们删掉了再次选择的来路。","待新增","","","tower_ascent_dialogue_05.wav",30
"tower_ascent.dialogue.06","开场对话","第四章·通天塔","tower_ascent","墨塔","把第一道墨线接回承重点，再净化逆结晶。不要替我辩解，替后来的人打开门。","待新增","","","tower_ascent_dialogue_06.wav",35
"tower_ascent.clue.01","调查线索","第四章·通天塔","tower_ascent","","第一层谱页记着灾后重建，灾难被删去后，连伸手相助的缘由也消失了。","待新增","","","tower_ascent_clue_01.wav",32
"tower_ascent.clue.02","调查线索","第四章·通天塔","tower_ascent","","第七层承重线断在纸白处，斗拱能稳住结构，不能替它编造过去。","待新增","","","tower_ascent_clue_02.wav",29
"tower_ascent.clue.03","调查线索","第四章·通天塔","tower_ascent","","逆结晶把被删去的情绪压成白蚀。用藻井净化，让记忆重新可以被阅读。","待新增","","","tower_ascent_clue_03.wav",32
"tower_ascent.beat.01","调查呓语","第四章·通天塔","tower_ascent","初代拓印师·塔中回声","我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。","需重做（现复用 tower_origin.wav）","tower_origin.wav","tower_ascent.wav（待新建）","tower_ascent_beat_01.wav",29
"tower_ascent.beat.02","调查呓语","第四章·通天塔","tower_ascent","拓印师","可你也抹去了为什么相助，为什么重建，为什么等一个人回来。","需重做（现复用 tower_origin.wav）","tower_origin.wav","tower_ascent.wav（待新建）","tower_ascent_beat_02.wav",28
"tower_ascent.beat.03","调查呓语","第四章·通天塔","tower_ascent","初代拓印师·塔中回声","我留下了完好的屋子，为什么里面越来越空？","需重做（现复用 tower_origin.wav）","tower_origin.wav","tower_ascent.wav（待新建）","tower_ascent_beat_03.wav",20
"tower_ascent.before_battle.01","战前对话","第四章·通天塔","tower_ascent","墨塔","白蚀有三层。用斗拱护住承点、飞檐破开灰幕、藻井净化逆结晶；每种技艺都要在此回应一次。","待新增","","","tower_ascent_before_battle.wav",42
"tower_ascent.keep_response.01","记住回应","第四章·通天塔","tower_ascent","初代回声","请连我的错误一起记下。别让后来的人只看见一座完好的塔。","待新增","","","tower_ascent_keep.wav",27
"tower_ascent.forget_response.01","遗忘回应","第四章·通天塔","tower_ascent","墨塔","你又做了一次有限的取舍。承认自己无法全知，才不会把个人的谱当成整个世界。","待新增","","","tower_ascent_forget.wav",36
"tower_ascent.outro.01","事件结语","第四章·通天塔","tower_ascent","","三重白蚀散去，塔心显露一张空桌。初代的声音不再要求原谅，只把笔推向你：这次，由活着的人决定怎样接着写。","待新增","","","tower_ascent_outro.wav",51
"tower_ascent.echo.01","墨灵回声","第四章·通天塔","tower_ascent","墨灵回声","初代拓印师为永恒秩序抹去了所有战乱与悲痛。","已有配音","tower_origin.wav","tower_origin.wav（墨灵：塔·初代之忆）","tower_origin.wav",21
"tower_ledger.dialogue.01","开场对话","第四章·通天塔","tower_ledger","檐下谱","长廊摆着你亲手拓下的记忆，也摆着你亲手放开的空页。两者都没有消失过。","待新增","","","tower_ledger_dialogue_01.wav",34
"tower_ledger.dialogue.02","开场对话","第四章·通天塔","tower_ledger","拓印师","我来时想找回自己的名字，后来却一直在替别人留下声音。","待新增","","","tower_ledger_dialogue_02.wav",26
"tower_ledger.dialogue.03","开场对话","第四章·通天塔","tower_ledger","廊桥的回声","你怎样等人归来，就是你的名字。","待新增","","","tower_ledger_dialogue_03.wav",15
"tower_ledger.dialogue.04","开场对话","第四章·通天塔","tower_ledger","戏楼的回声","你肯听下一句，就是你的名字。","待新增","","","tower_ledger_dialogue_04.wav",14
"tower_ledger.dialogue.05","开场对话","第四章·通天塔","tower_ledger","初代拓印师·塔中回声","这支笔不该替所有人决定。你愿意把它交回去吗？","待新增","","","tower_ledger_dialogue_05.wav",22
"tower_ledger.dialogue.06","开场对话","第四章·通天塔","tower_ledger","拓印师","我会留下能够证实的记忆，也留下空白。愿意接笔的人，请从自己的故事开始。","待新增","","","tower_ledger_dialogue_06.wav",35
"tower_ledger.clue.01","调查线索","第四章·通天塔","tower_ledger","","记住的拓印仍有颜色，它们是这趟旅程真实携带的部分。","待新增","","","tower_ledger_clue_01.wav",25
"tower_ledger.clue.02","调查线索","第四章·通天塔","tower_ledger","","遗忘页的账册没有被擦掉。承认取舍，才能看见自己记忆的边界。","待新增","","","tower_ledger_clue_02.wav",29
"tower_ledger.clue.03","调查线索","第四章·通天塔","tower_ledger","","桌上有三支未用的笔。世界的后续应由不止一个人写下。","待新增","","","tower_ledger_clue_03.wav",25
"tower_ledger.beat.01","调查呓语","第四章·通天塔","tower_ledger","拓印师","我来时想找回自己的名字，后来却一直在替别人留下声音。","需重做（现复用 tower_epilogue.wav）","tower_epilogue.wav","tower_ledger.wav（待新建）","tower_ledger_beat_01.wav",26
"tower_ledger.beat.02","调查呓语","第四章·通天塔","tower_ledger","廊桥的回声","你怎样等人归来，就是你的名字。","需重做（现复用 tower_epilogue.wav）","tower_epilogue.wav","tower_ledger.wav（待新建）","tower_ledger_beat_02.wav",15
"tower_ledger.beat.03","调查呓语","第四章·通天塔","tower_ledger","戏楼的回声","你肯听下一句，就是你的名字。","需重做（现复用 tower_epilogue.wav）","tower_epilogue.wav","tower_ledger.wav（待新建）","tower_ledger_beat_03.wav",14
"tower_ledger.keep_response.01","记住回应","第四章·通天塔","tower_ledger","檐下谱","这本谱终于有了最后一页——但没有写‘终’。","待新增","","","tower_ledger_keep.wav",21
"tower_ledger.forget_response.01","遗忘回应","第四章·通天塔","tower_ledger","檐下谱","你为新页放下了一段旧声。它仍在账册里，提醒后来的人：这只是你的一种选择。","待新增","","","tower_ledger_forget.wav",36
"tower_ledger.outro.01","事件结语","第四章·通天塔","tower_ledger","","你把檐下谱放在塔门口。有人补上家门前的桥，有人画出从未登台的孩子，也有人在空白处写下疑问。屋檐不再只收留过去，它开始收留明天。","待新增","","","tower_ledger_outro.wav",63
"tower_ledger.echo.01","墨灵回声","第四章·通天塔","tower_ledger","墨灵回声","只记住值得记住的，让世界自己选择颜色。","已有配音","tower_epilogue.wav","tower_epilogue.wav（墨灵：塔·檐下折中）","tower_epilogue.wav",19
"failure_scene.failure.01","失败结局","全章节","failure_scene","檐下谱","你退到了飞鸟山。这条石阶上，落着所有没能带回去的记忆。","待新增","","","failure_line_01.wav",27
"failure_scene.failure.02","失败结局","全章节","failure_scene","拓印师","只差最后一步。构件归位了，墨线描完了，白蚀也散了。","待新增","","","failure_line_02.wav",25
"failure_scene.failure.03","失败结局","全章节","failure_scene","飞鸟山","差的那一步是我。你把我的残迹当成一页脏墨——擦干净，再写上你记得的样子。","待新增","","","failure_line_03.wav",36
"failure_scene.failure.04","失败结局","全章节","failure_scene","拓印师","我把你修回原来的样子，哪里不对？","待新增","","","failure_line_04.wav",16
"failure_scene.failure.05","失败结局","全章节","failure_scene","飞鸟山","你要的不是原来的我，是一个被你修好的我。","待新增","","","failure_line_05.wav",20
"failure_scene.failure.06","失败结局","全章节","failure_scene","拓印师","我只是不想让你们再忘下去。","待新增","","","failure_line_06.wav",13
"failure_scene.failure.07","失败结局","全章节","failure_scene","飞鸟山","你是想让我停在你还记得我的那一天。","待新增","","","failure_line_07.wav",17
"failure_scene.failure.08","失败结局","全章节","failure_scene","拓印师","……","待新增","","","failure_line_08.wav",2
"failure_scene.failure.09","失败结局","全章节","failure_scene","飞鸟山","你这个人，满脑子只想着自己呢。","待新增","","","failure_line_09.wav",15
"failure_scene.failure_first.01","失败结局首句","全章节","failure_scene","檐下谱","你退到了飞鸟山。墨已经耗干了。","待新增","","erosion_limit","failure_first_erosion_limit.wav",15
"failure_scene.failure_first.02","失败结局首句","全章节","failure_scene","檐下谱","你退到了飞鸟山。这一回，你的手抖得太厉害了。","待新增","","puzzle_attempt_limit","failure_first_puzzle_attempt_limit.wav",22
"failure_scene.failure_first.03","失败结局首句","全章节","failure_scene","檐下谱","你退到了飞鸟山。白蚀还在，你的手已经抬不起来了。","待新增","","battle_requirements_not_met","failure_first_battle_requirements_not_met.wav",24
"failure_scene.failure_first.04","失败结局首句","全章节","failure_scene","檐下谱","你退到了飞鸟山。这段路，你走得太久了。","待新增","","session_expired","failure_first_session_expired.wav",19
